"voted2004","gender","ageY","ageC","educationC","incomeC","partyAffiliation","percentAttended"
"yes","M",67.6953381483913,"(54.2,108]","primary","> 75k","Unaffiliated/Other",0.227272727272727
"yes","F",55.6932589188006,"(54.2,108]","postsec","< 35k","Unaffiliated/Other",0.295454545454545
"no","M",24.6115123659444,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.0714285714285714
"yes","F",49.2968920989276,"(45.8,54.2]","secondary","35k-75k","Republican",0.1875
"yes","M",58.3579557890129,"(54.2,108]","postsec","35k-75k","Unaffiliated/Other",0
"yes","M",60.9542569490042,"(54.2,108]","postsec","> 75k","Republican",0.5
"yes","M",20.6773911140293,"(19.2,36.7]","secondary","35k-75k","Republican",0.125
"no","M",85.6697307944846,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0
"no","M",69.65966294594,"(54.2,108]","secondary","> 75k","Democrat",0.295454545454545
"no","F",27.3008316918363,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.0344827586206897
"yes","F",54.3198730575618,"(54.2,108]","secondary","35k-75k","Republican",0.522727272727273
"no","M",58.4044648719632,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.4375
"yes","F",43.672028890348,"(36.7,45.8]","secondary","35k-75k","Republican",0.5
"no","M",19.4380608448238,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0
"no","M",67.1919457211644,"(54.2,108]","secondary","< 35k","Unaffiliated/Other",0.25
"yes","M",43.3519369665135,"(36.7,45.8]","secondary","35k-75k","Democrat",0.318181818181818
"yes","F",57.3648500766032,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.0454545454545455
"yes","M",24.9507550886408,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0.136363636363636
"yes","M",49.2230247318888,"(45.8,54.2]","secondary","35k-75k","Democrat",0.590909090909091
"no","F",45.4120157583716,"(36.7,45.8]","primary","> 75k","Unaffiliated/Other",0.227272727272727
"yes","F",61.944626833005,"(54.2,108]","primary","> 75k","Republican",0.477272727272727
"yes","M",41.4368570803239,"(36.7,45.8]","secondary","35k-75k","Republican",0.25
"yes","M",40.845918144014,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.25
"no","M",61.9993434011819,"(54.2,108]","secondary","< 35k","Democrat",0.25
"yes","F",36.4986868023638,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0
"yes","F",59.2689866491574,"(54.2,108]","primary","35k-75k","Unaffiliated/Other",0.204545454545455
"no","F",32.3730575618297,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0
"yes","M",47.2915298752462,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.113636363636364
"yes","F",23.9494418910046,"(19.2,36.7]","postsec","> 75k","Unaffiliated/Other",0
"no","F",30.6275990369884,"(19.2,36.7]","secondary","< 35k","Unaffiliated/Other",0
"no","F",48.7606697307945,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.0714285714285714
"yes","F",58.0460713504049,"(54.2,108]","secondary","35k-75k","Republican",0.613636363636364
"yes","M",72.7484132195229,"(54.2,108]","secondary","> 75k","Republican",0.590909090909091
"no","F",48.2107682206172,"(45.8,54.2]","primary","< 35k","Unaffiliated/Other",0.409090909090909
"yes","M",33.4072007003721,"(19.2,36.7]","secondary","35k-75k","Republican",0.461538461538462
"yes","F",48.1697307944846,"(45.8,54.2]","postsec","> 75k","Republican",0.272727272727273
"yes","F",45.9236156708251,"(45.8,54.2]","secondary","35k-75k","Republican",0.285714285714286
"yes","F",54.3226088859707,"(54.2,108]","secondary","< 35k","Democrat",0.545454545454545
"no","F",27.7878091486102,"(19.2,36.7]","secondary","< 35k","Democrat",0.379310344827586
"yes","M",32.471547384548,"(19.2,36.7]","secondary","35k-75k","Republican",0.272727272727273
"yes","M",48.9576493762311,"(45.8,54.2]","secondary","35k-75k","Democrat",0.363636363636364
"yes","M",49.8194353250164,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.113636363636364
"yes","M",19.3559859925585,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.2
"yes","F",37.1470781352594,"(36.7,45.8]","primary","35k-75k","Republican",0.454545454545455
"yes","F",57.9038082731451,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0.136363636363636
"no","M",27.0135697089079,"(19.2,36.7]","postsec","> 75k","Unaffiliated/Other",0
"yes","F",54.005252790545,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.0909090909090909
"no","M",38.4028233749179,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.0227272727272727
"yes","M",52.6154519588531,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0
"no","M",37.8693368351937,"(36.7,45.8]","primary","35k-75k","Unaffiliated/Other",0.0454545454545455
"yes","F",42.0961917268549,"(36.7,45.8]","secondary","35k-75k","Democrat",0.4375
"yes","M",49.9015101772817,"(45.8,54.2]","secondary","35k-75k","Democrat",0.545454545454545
"yes","M",55.460713504049,"(54.2,108]","postsec","35k-75k","Republican",0.545454545454545
"yes","F",38.2140512147078,"(36.7,45.8]","primary","35k-75k","Unaffiliated/Other",0.227272727272727
"no","M",22.58973517181,"(19.2,36.7]","secondary","< 35k","Unaffiliated/Other",0
"no","M",36.0937841978551,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.473684210526316
"yes","F",79.021667760998,"(54.2,108]","postsec","> 75k","Democrat",0.636363636363636
"yes","F",57.0803239220836,"(54.2,108]","secondary","< 35k","Unaffiliated/Other",0.192307692307692
"yes","M",44.0003282994091,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0
"no","M",34.102101116218,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0
"yes","M",56.1556139198949,"(54.2,108]","secondary","> 75k","Unaffiliated/Other",0.214285714285714
"yes","M",44.435325016415,"(36.7,45.8]","secondary","35k-75k","Republican",0.25
"no","M",40.5395053622237,"(36.7,45.8]","secondary","< 35k","Unaffiliated/Other",0.3
"yes","M",41.3465747428321,"(36.7,45.8]","secondary","< 35k","Democrat",0.176470588235294
"yes","F",40.1729043554388,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.1
"yes","M",42.1591157802583,"(36.7,45.8]","secondary","35k-75k","Republican",0.295454545454545
"yes","F",67.7226964324798,"(54.2,108]","primary","35k-75k","Republican",0.551724137931034
"yes","F",61.3099146421537,"(54.2,108]","secondary","> 75k","Democrat",0.5
"no","F",41.9429853359597,"(36.7,45.8]","secondary","> 75k","Unaffiliated/Other",0.454545454545455
"yes","F",50.2708470124754,"(45.8,54.2]","secondary","35k-75k","Republican",0.551724137931034
"yes","M",58.7355001094331,"(54.2,108]","postsec","35k-75k","Democrat",0.363636363636364
"yes","F",66.6338367257606,"(54.2,108]","primary","< 35k","Unaffiliated/Other",0.386363636363636
"yes","M",34.6848325673014,"(19.2,36.7]","secondary","> 75k","Republican",0.272727272727273
"yes","M",62.2154738454804,"(54.2,108]","primary","< 35k","Republican",0.227272727272727
"no","M",76.9096082293719,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0
"yes","F",36.3427445830598,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.159090909090909
"no","M",42.1481724666229,"(36.7,45.8]","secondary","35k-75k","Republican",0.340909090909091
"yes","F",56.8368351936967,"(54.2,108]","primary","35k-75k","Democrat",0.5
"yes","M",73.6539724228496,"(54.2,108]","secondary","> 75k","Republican",0.477272727272727
"yes","M",68.2671262858394,"(54.2,108]","secondary","35k-75k","Republican",0.295454545454545
"yes","F",69.0167432698621,"(54.2,108]","primary","35k-75k","Republican",0.386363636363636
"yes","M",51.2174436419348,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.142857142857143
"yes","M",32.818997592471,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.159090909090909
"yes","F",59.777850733202,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.295454545454545
"yes","M",56.6699496607573,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.192307692307692
"no","M",33.3606916174218,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.0714285714285714
